,title,total_votes,mean_vote
0,Miss Jerry,154,5.9
1,The Story of the Kelly Gang,589,6.3
2,Den sorte drøm,188,6.0
3,Cleopatra,446,5.3
4,L'Inferno,2237,6.9
5,"From the Manger to the Cross; or, Jesus of Nazareth",484,5.8
6,Madame DuBarry,753,6.8
7,Quo Vadis?,273,6.2
8,Independenta Romaniei,198,7.1
9,Richard III,225,5.4
10,Atlantis,331,6.6
11,Fantômas - À l'ombre de la guillotine,1944,6.6
12,Il calvario di una madre,948,7.2
13,Juve contre Fantômas,1349,6.5
14,Ma l'amor mio non muore...,100,6.3
15,Maudite soit la guerre,124,6.7
16,Le mort qui tue,1050,6.6
17,Amore di madre,187,6.1
18,Lo studente di Praga,1768,6.5
19,Traffic in Souls,552,6.0
20,Gli ultimi giorni di Pompei,474,6.1
21,Assunta Spina,378,6.5
22,The Avenging Conscience: or 'Thou Shalt Not Kill',1105,6.8
23,The Bargain,144,6.5
24,Cabiria,3073,6.5
25,Cinderella,929,6.7
26,L'enfant de Paris,303,7.6
27,Fantômas contre Fantômas,1161,6.5
28,A Florida Enchantment,202,6.0
29,Der Golem,1040,5.9
30,Det hemmelighedsfulde X,503,6.9
31,"His Majesty, the Scarecrow of Oz",415,5.2
32,Hypocrites,456,6.3
33,In the Land of the Head Hunters,402,6.0
34,Judith of Bethulia,1239,7.2
35,The Patchwork Girl of Oz,382,5.6
36,The Perils of Pauline,939,7.5
37,The Squaw Man,879,6.1
38,La madonnina del porto,178,6.4
39,Tillie's Punctured Romance,3250,7.1
40,A tolonc,165,6.4
41,Uncle Tom's Cabin,112,5.4
42,The Virginian,174,5.6
43,The Wishing Ring: An Idyll of Old England,242,6.3
44,The Wrath of the Gods,138,5.7
45,Alias Jimmy Valentine,206,5.8
46,Alice in Wonderland,394,6.2
47,Nascita di una nazione,22213,6.4
48,Carmen,894,6.8
49,The Cheat,2305,6.3
50,The Coward,244,6.1
51,La vampira,783,6.0
52,The Golden Chance,187,6.5
53,Hævnens Nat,268,6.9
54,The Italian,293,6.5
55,Maciste,130,5.9
56,Martyrs of the Alamo,138,5.9
57,The Nigger,300,7.0
58,Posle smerti,794,6.5
59,Rapsodia satanica,597,7.0
60,La rigenerazione,1110,6.7
61,I vampiri,4166,6.7
62,Young Romance,151,6.0
63,"20,000 Leagues Under the Sea",1501,6.9
64,The Children in the House,559,6.5
65,Civilization,283,6.1
66,The Devil's Needle,123,7.1
67,Dödskyssen,199,6.0
68,Flirting with Fate,143,6.4
69,Going Straight,609,6.4
70,The Good Bad-Man,166,6.6
71,Gretchen the Greenhorn,479,6.5
72,The Half-Breed,147,6.8
73,Hell's Hinges,836,6.5
74,His Picture in the Papers,127,6.0
75,Hoodoo Ann,837,6.7
76,Intolerance,13875,7.8
77,Judex,867,6.4
78,The Matrimaniac,573,6.7
79,Pikovaya dama,610,6.8
80,Reggie Mixes In,564,6.4
81,The Return of Draw Egan,141,6.6
82,Schuhpalast Pinkus,183,5.7
83,Sherlock Holmes,313,6.4
84,Shoes,342,6.9
